"","tract_name","freq","city"
"155","Census Tract 284",180,"Bronx"
"156","Census Tract 285",153,"Bronx"
"157","Census Tract 286",64,"Bronx"
"158","Census Tract 287",167,"Bronx"
"159","Census Tract 288",114,"Bronx"
"160","Census Tract 289",238,"Bronx"
"161","Census Tract 293.01",14,"Bronx"
"162","Census Tract 293.02",77,"Bronx"
"163","Census Tract 295",91,"Bronx"
"164","Census Tract 296",180,"Bronx"
"165","Census Tract 297",64,"Bronx"
"166","Census Tract 300",128,"Bronx"
"167","Census Tract 301",14,"Bronx"
"168","Census Tract 302",188,"Bronx"
"169","Census Tract 307.01",36,"Bronx"
"170","Census Tract 309",78,"Bronx"
"171","Census Tract 31",64,"Bronx"
"172","Census Tract 310",83,"Bronx"
"173","Census Tract 312",33,"Bronx"
"174","Census Tract 314",27,"Bronx"
"175","Census Tract 316",34,"Bronx"
"176","Census Tract 318",27,"Bronx"
"177","Census Tract 319",21,"Bronx"
"178","Census Tract 323",95,"Bronx"
"179","Census Tract 324",185,"Bronx"
"180","Census Tract 326",91,"Bronx"
"181","Census Tract 328",170,"Bronx"
"182","Census Tract 33",251,"Bronx"
"183","Census Tract 330",221,"Bronx"
"184","Census Tract 332.01",75,"Bronx"
"185","Census Tract 332.02",127,"Bronx"
"186","Census Tract 334",426,"Bronx"
"187","Census Tract 335",77,"Bronx"
"188","Census Tract 336",315,"Bronx"
"189","Census Tract 337",59,"Bronx"
"190","Census Tract 338",157,"Bronx"
"191","Census Tract 340",107,"Bronx"
"192","Census Tract 342",63,"Bronx"
"193","Census Tract 343",43,"Bronx"
"194","Census Tract 344",56,"Bronx"
"195","Census Tract 345",67,"Bronx"
"196","Census Tract 348",228,"Bronx"
"197","Census Tract 35",153,"Bronx"
"198","Census Tract 350",47,"Bronx"
"199","Census Tract 351",45,"Bronx"
"200","Census Tract 356",148,"Bronx"
"201","Census Tract 358",173,"Bronx"
"202","Census Tract 359",134,"Bronx"
"203","Census Tract 360",63,"Bronx"
"204","Census Tract 361",330,"Bronx"
"205","Census Tract 363",348,"Bronx"
"206","Census Tract 364",92,"Bronx"
"207","Census Tract 365.01",185,"Bronx"
"208","Census Tract 365.02",92,"Bronx"
"209","Census Tract 367",70,"Bronx"
"210","Census Tract 368",105,"Bronx"
"211","Census Tract 369.01",154,"Bronx"
"212","Census Tract 369.02",128,"Bronx"
"213","Census Tract 37",63,"Bronx"
"214","Census Tract 370",37,"Bronx"
"215","Census Tract 371",233,"Bronx"
"216","Census Tract 372",61,"Bronx"
"217","Census Tract 373",310,"Bronx"
"218","Census Tract 374",163,"Bronx"
"219","Census Tract 375.04",336,"Bronx"
"220","Census Tract 376",54,"Bronx"
"221","Census Tract 378",92,"Bronx"
"222","Census Tract 379",323,"Bronx"
"223","Census Tract 38",52,"Bronx"
"224","Census Tract 380",279,"Bronx"
"225","Census Tract 381",289,"Bronx"
"226","Census Tract 382",80,"Bronx"
"227","Census Tract 383.01",276,"Bronx"
"228","Census Tract 383.02",355,"Bronx"
"229","Census Tract 385",321,"Bronx"
"230","Census Tract 386",232,"Bronx"
"231","Census Tract 387",175,"Bronx"
"232","Census Tract 388",55,"Bronx"
"233","Census Tract 389",308,"Bronx"
"234","Census Tract 39",560,"Bronx"
"235","Census Tract 390",129,"Bronx"
"236","Census Tract 391",332,"Bronx"
"237","Census Tract 392",77,"Bronx"
"238","Census Tract 393",264,"Bronx"
"239","Census Tract 394",219,"Bronx"
"240","Census Tract 395",297,"Bronx"
"241","Census Tract 396",145,"Bronx"
"242","Census Tract 397",303,"Bronx"
"243","Census Tract 398",68,"Bronx"
"244","Census Tract 399.01",539,"Bronx"
"245","Census Tract 399.02",258,"Bronx"
"246","Census Tract 4",197,"Bronx"
"247","Census Tract 40.01",101,"Bronx"
"248","Census Tract 401",507,"Bronx"
"249","Census Tract 403.02",124,"Bronx"
"250","Census Tract 403.03",142,"Bronx"
"251","Census Tract 403.04",223,"Bronx"
"252","Census Tract 404",152,"Bronx"
"253","Census Tract 405.01",229,"Bronx"
"254","Census Tract 405.02",357,"Bronx"
"255","Census Tract 406",143,"Bronx"
"256","Census Tract 407.01",94,"Bronx"
"257","Census Tract 407.02",238,"Bronx"
"258","Census Tract 408",161,"Bronx"
"259","Census Tract 409",279,"Bronx"
"260","Census Tract 41",600,"Bronx"
"261","Census Tract 411",99,"Bronx"
"262","Census Tract 413",170,"Bronx"
"263","Census Tract 414",271,"Bronx"
"264","Census Tract 415",102,"Bronx"
"265","Census Tract 418",180,"Bronx"
"266","Census Tract 419",244,"Bronx"
"267","Census Tract 42",729,"Bronx"
"268","Census Tract 420",164,"Bronx"
"269","Census Tract 421",293,"Bronx"
"270","Census Tract 422",81,"Bronx"
"271","Census Tract 423",131,"Bronx"
"272","Census Tract 424",77,"Bronx"
"273","Census Tract 425",333,"Bronx"
"274","Census Tract 426",157,"Bronx"
"275","Census Tract 428",41,"Bronx"
"276","Census Tract 429.01",97,"Bronx"
"277","Census Tract 429.02",131,"Bronx"
"278","Census Tract 43",444,"Bronx"
"279","Census Tract 430",51,"Bronx"
"280","Census Tract 431",334,"Bronx"
"281","Census Tract 434",115,"Bronx"
"282","Census Tract 435",327,"Bronx"
"283","Census Tract 436",57,"Bronx"
"284","Census Tract 44",272,"Bronx"
"285","Census Tract 442",135,"Bronx"
"286","Census Tract 444",85,"Bronx"
"287","Census Tract 448",40,"Bronx"
"288","Census Tract 449.01",21,"Bronx"
"289","Census Tract 449.02",40,"Bronx"
"290","Census Tract 451.01",46,"Bronx"
"291","Census Tract 451.02",35,"Bronx"
"292","Census Tract 456",82,"Bronx"
"293","Census Tract 458",220,"Bronx"
"294","Census Tract 46",270,"Bronx"
"295","Census Tract 460",58,"Bronx"
"296","Census Tract 462.01",1030,"Bronx"
"297","Census Tract 462.02",294,"Bronx"
"298","Census Tract 48",262,"Bronx"
"299","Census Tract 484",211,"Bronx"
"300","Census Tract 50.01",321,"Bronx"
"301","Census Tract 50.02",237,"Bronx"
"302","Census Tract 504",19,"Bronx"
"303","Census Tract 51",697,"Bronx"
"304","Census Tract 516",138,"Bronx"
"305","Census Tract 52",156,"Bronx"
"306","Census Tract 53",277,"Bronx"
"307","Census Tract 54",404,"Bronx"
"308","Census Tract 56",194,"Bronx"
"309","Census Tract 59.02",56,"Bronx"
"310","Census Tract 60",155,"Bronx"
"311","Census Tract 61",128,"Bronx"
"312","Census Tract 62",399,"Bronx"
"313","Census Tract 63",811,"Bronx"
"314","Census Tract 64",190,"Bronx"
"315","Census Tract 65",752,"Bronx"
"316","Census Tract 67",787,"Bronx"
"317","Census Tract 68",247,"Bronx"
"318","Census Tract 69",371,"Bronx"
"319","Census Tract 70",237,"Bronx"
"320","Census Tract 71",240,"Bronx"
"321","Census Tract 72",222,"Bronx"
"322","Census Tract 73",316,"Bronx"
"323","Census Tract 74",156,"Bronx"
"324","Census Tract 75",315,"Bronx"
"325","Census Tract 76",312,"Bronx"
"326","Census Tract 77",124,"Bronx"
"327","Census Tract 78",315,"Bronx"
"328","Census Tract 79",438,"Bronx"
"329","Census Tract 83",258,"Bronx"
"330","Census Tract 84",68,"Bronx"
"331","Census Tract 85",339,"Bronx"
"332","Census Tract 86",246,"Bronx"
"333","Census Tract 87",419,"Bronx"
"334","Census Tract 89",199,"Bronx"
"335","Census Tract 90",307,"Bronx"
"336","Census Tract 92",232,"Bronx"
"337","Census Tract 93",841,"Bronx"
"338","Census Tract 96",208,"Bronx"
"339","Census Tract 98",207,"Bronx"
"340",NA,578,"Bronx"
"341","Census Tract 1",93,"Brooklyn"
"342","Census Tract 100",152,"Brooklyn"
"343","Census Tract 1004",40,"Brooklyn"
"344","Census Tract 1006",63,"Brooklyn"
"345","Census Tract 1008",65,"Brooklyn"
"346","Census Tract 101",158,"Brooklyn"
"347","Census Tract 1010",52,"Brooklyn"
"348","Census Tract 1012",69,"Brooklyn"
"349","Census Tract 1014",50,"Brooklyn"
"350","Census Tract 1016",27,"Brooklyn"
"351","Census Tract 1018",78,"Brooklyn"
"352","Census Tract 102",90,"Brooklyn"
"353","Census Tract 1020",52,"Brooklyn"
"354","Census Tract 1022",87,"Brooklyn"
"355","Census Tract 1024",56,"Brooklyn"
"356","Census Tract 1026",41,"Brooklyn"
"357","Census Tract 1028",77,"Brooklyn"
"358","Census Tract 1034",249,"Brooklyn"
"359","Census Tract 104",87,"Brooklyn"
"360","Census Tract 1058.01",186,"Brooklyn"
"361","Census Tract 1058.04",205,"Brooklyn"
"362","Census Tract 106",89,"Brooklyn"
"363","Census Tract 1070",367,"Brooklyn"
"364","Census Tract 1078",90,"Brooklyn"
"365","Census Tract 108",86,"Brooklyn"
"366","Census Tract 1098",239,"Brooklyn"
"367","Census Tract 11",811,"Brooklyn"
"368","Census Tract 110",82,"Brooklyn"
"369","Census Tract 1104",588,"Brooklyn"
"370","Census Tract 1106",316,"Brooklyn"
"371","Census Tract 1110",128,"Brooklyn"
"372","Census Tract 1116",206,"Brooklyn"
"373","Census Tract 1118",169,"Brooklyn"
"374","Census Tract 112",100,"Brooklyn"
"375","Census Tract 1120",154,"Brooklyn"
"376","Census Tract 1122",147,"Brooklyn"
"377","Census Tract 1124",211,"Brooklyn"
"378","Census Tract 1126",218,"Brooklyn"
"379","Census Tract 1128",264,"Brooklyn"
"380","Census Tract 1130",203,"Brooklyn"
"381","Census Tract 1132",94,"Brooklyn"
"382","Census Tract 1134",248,"Brooklyn"
"383","Census Tract 114",77,"Brooklyn"
"384","Census Tract 1142.01",105,"Brooklyn"
"385","Census Tract 1142.02",84,"Brooklyn"
"386","Census Tract 1144",275,"Brooklyn"
"387","Census Tract 1146",106,"Brooklyn"
"388","Census Tract 1150",147,"Brooklyn"
"389","Census Tract 1152",295,"Brooklyn"
"390","Census Tract 1156",387,"Brooklyn"
"391","Census Tract 1158",225,"Brooklyn"
"392","Census Tract 116",63,"Brooklyn"
"393","Census Tract 1160",114,"Brooklyn"
"394","Census Tract 1162",111,"Brooklyn"
"395","Census Tract 1164",151,"Brooklyn"
"396","Census Tract 1166",176,"Brooklyn"
"397","Census Tract 1168",126,"Brooklyn"
"398","Census Tract 117",70,"Brooklyn"
"399","Census Tract 1170",128,"Brooklyn"
"400","Census Tract 1172.01",90,"Brooklyn"
"401","Census Tract 1172.02",112,"Brooklyn"
"402","Census Tract 1174",169,"Brooklyn"
"403","Census Tract 1176.01",93,"Brooklyn"
"404","Census Tract 1176.02",121,"Brooklyn"
"405","Census Tract 1178",81,"Brooklyn"
"406","Census Tract 118",141,"Brooklyn"
"407","Census Tract 1180",185,"Brooklyn"
"408","Census Tract 1182.01",67,"Brooklyn"
"409","Census Tract 1182.02",76,"Brooklyn"
"410","Census Tract 1184",208,"Brooklyn"
"411","Census Tract 1186",96,"Brooklyn"
"412","Census Tract 1188",199,"Brooklyn"
"413","Census Tract 119",189,"Brooklyn"
"414","Census Tract 1190",150,"Brooklyn"
"415","Census Tract 1192",214,"Brooklyn"
"416","Census Tract 1194",276,"Brooklyn"
"417","Census Tract 1196",380,"Brooklyn"
"418","Census Tract 1198",223,"Brooklyn"
"419","Census Tract 120",78,"Brooklyn"
"420","Census Tract 1200",105,"Brooklyn"
"421","Census Tract 1202",77,"Brooklyn"
"422","Census Tract 1208",387,"Brooklyn"
"423","Census Tract 121",68,"Brooklyn"
"424","Census Tract 1210",77,"Brooklyn"
"425","Census Tract 1214",192,"Brooklyn"
"426","Census Tract 122",108,"Brooklyn"
"427","Census Tract 1220",206,"Brooklyn"
"428","Census Tract 1237",166,"Brooklyn"
"429","Census Tract 126",79,"Brooklyn"
"430","Census Tract 127",127,"Brooklyn"
"431","Census Tract 128.01",82,"Brooklyn"
"432","Census Tract 129.01",488,"Brooklyn"
"433","Census Tract 129.02",95,"Brooklyn"
"434","Census Tract 13",218,"Brooklyn"
"435","Census Tract 130",117,"Brooklyn"
"436","Census Tract 131",82,"Brooklyn"
"437","Census Tract 132",50,"Brooklyn"
"438","Census Tract 133",77,"Brooklyn"
"439","Census Tract 134",118,"Brooklyn"
"440","Census Tract 135",95,"Brooklyn"
"441","Census Tract 136",75,"Brooklyn"
"442","Census Tract 137",114,"Brooklyn"
"443","Census Tract 138",418,"Brooklyn"
"444","Census Tract 139",80,"Brooklyn"
"445","Census Tract 140",46,"Brooklyn"
"446","Census Tract 141",80,"Brooklyn"
"447","Census Tract 142",89,"Brooklyn"
"448","Census Tract 143",99,"Brooklyn"
"449","Census Tract 145",142,"Brooklyn"
"450","Census Tract 147",36,"Brooklyn"
"451","Census Tract 148",20,"Brooklyn"
"452","Census Tract 149",103,"Brooklyn"
"453","Census Tract 15",395,"Brooklyn"
"454","Census Tract 150",42,"Brooklyn"
"455","Census Tract 1502",96,"Brooklyn"
"456","Census Tract 151",64,"Brooklyn"
"457","Census Tract 152",43,"Brooklyn"
"458","Census Tract 1522",138,"Brooklyn"
"459","Census Tract 153",120,"Brooklyn"
"460","Census Tract 154",36,"Brooklyn"
"461","Census Tract 155",103,"Brooklyn"
"462","Census Tract 157",90,"Brooklyn"
"463","Census Tract 159",141,"Brooklyn"
"464","Census Tract 160",118,"Brooklyn"
"465","Census Tract 161",108,"Brooklyn"
"466","Census Tract 162",18,"Brooklyn"
"467","Census Tract 163",93,"Brooklyn"
"468","Census Tract 164",9,"Brooklyn"
"469","Census Tract 165",60,"Brooklyn"
"470","Census Tract 166",49,"Brooklyn"
"471","Census Tract 167",74,"Brooklyn"
"472","Census Tract 168",23,"Brooklyn"
"473","Census Tract 169",55,"Brooklyn"
"474","Census Tract 170",32,"Brooklyn"
"475","Census Tract 171",31,"Brooklyn"
"476","Census Tract 172",75,"Brooklyn"
"477","Census Tract 174",28,"Brooklyn"
"478","Census Tract 175",12,"Brooklyn"
"479","Census Tract 176",29,"Brooklyn"
"480","Census Tract 177",329,"Brooklyn"
"481","Census Tract 178",75,"Brooklyn"
"482","Census Tract 179",113,"Brooklyn"
"483","Census Tract 18",180,"Brooklyn"
"484","Census Tract 180",55,"Brooklyn"
"485","Census Tract 181",109,"Brooklyn"
"486","Census Tract 182",67,"Brooklyn"
"487","Census Tract 183",86,"Brooklyn"
"488","Census Tract 184",23,"Brooklyn"
"489","Census Tract 185.01",255,"Brooklyn"
"490","Census Tract 186",26,"Brooklyn"
"491","Census Tract 187",90,"Brooklyn"
"492","Census Tract 188",46,"Brooklyn"
"493","Census Tract 190",97,"Brooklyn"
"494","Census Tract 191",134,"Brooklyn"
