"","geoid10","Pop"
"658",36047037402,4573
"659",36047037500,2910
"660",36047037700,3660
"661",36047037900,3706
"662",36047003800,1498
"663",36047038100,4763
"664",36047038200,5943
"665",36047038300,3931
"666",36047038500,3422
"667",36047038600,3477
"668",36047038700,4010
"669",36047038800,3841
"670",36047038900,2773
"671",36047003900,2229
"672",36047039000,2282
"673",36047039100,2303
"674",36047039200,2756
"675",36047039300,3549
"676",36047039400,2441
"677",36047039500,3380
"678",36047039600,2126
"679",36047039700,3389
"680",36047039800,2644
"681",36047039900,3823
"682",36047040000,3069
"683",36047040100,3518
"684",36047040200,2740
"685",36047040300,3538
"686",36047040400,2551
"687",36047040500,1480
"688",36047040600,3184
"689",36047040800,3566
"690",36047040900,3752
"691",36047004100,3598
"692",36047041000,1773
"693",36047041100,3302
"694",36047041200,2929
"695",36047041300,3822
"696",36047041401,1351
"697",36047041402,1612
"698",36047041500,4064
"699",36047041600,2324
"700",36047041700,3609
"701",36047041800,2359
"702",36047041900,3770
"703",36047042000,1896
"704",36047042100,3920
"705",36047042200,3568
"706",36047042300,4217
"707",36047042400,3666
"708",36047042500,3042
"709",36047042600,4135
"710",36047042700,5074
"711",36047042800,3857
"712",36047042900,5630
"713",36047004300,3008
"714",36047043000,3333
"715",36047043100,5113
"716",36047043200,4250
"717",36047043300,4064
"718",36047043400,3433
"719",36047043500,4463
"720",36047043600,4160
"721",36047043700,5240
"722",36047043800,2481
"723",36047043900,3829
"724",36047004400,2359
"725",36047044000,2880
"726",36047044100,5643
"727",36047044200,2658
"728",36047044300,5557
"729",36047044400,3336
"730",36047044500,4446
"731",36047044600,1909
"732",36047044700,2310
"733",36047044800,1915
"734",36047044900,2932
"735",36047004500,3325
"736",36047045200,2701
"737",36047045300,2017
"738",36047045400,1852
"739",36047045600,2357
"740",36047045800,1490
"741",36047004600,1199
"742",36047046000,3729
"743",36047046201,2632
"744",36047046202,1803
"745",36047046400,2838
"746",36047046800,2054
"747",36047004700,1445
"748",36047047000,2886
"749",36047047200,3141
"750",36047047400,2969
"751",36047047600,3646
"752",36047047700,3318
"753",36047047800,4848
"754",36047048000,3769
"755",36047048100,2778
"756",36047048200,5331
"757",36047048400,5481
"758",36047048500,2510
"759",36047048600,3568
"760",36047048800,4395
"761",36047048900,4039
"762",36047004900,2516
"763",36047049000,5899
"764",36047049100,6418
"765",36047049200,3495
"766",36047049300,7625
"767",36047049400,5308
"768",36047049500,2603
"769",36047049600,4513
"770",36047049700,2645
"771",36047049800,4232
"772",36047049900,1753
"773",36047000501,4247
"774",36047000502,2512
"775",36047005000,2276
"776",36047050000,3474
"777",36047050100,2786
"778",36047050202,2201
"779",36047050300,2582
"780",36047050400,4527
"781",36047050500,4163
"782",36047050600,6016
"783",36047050700,2288
"784",36047050801,4080
"785",36047050803,2464
"786",36047050804,6250
"787",36047050900,3694
"788",36047005100,2171
"789",36047051001,3926
"790",36047051002,4725
"791",36047051100,3933
"792",36047051200,6398
"793",36047051300,4332
"794",36047051400,7366
"795",36047051500,1372
"796",36047051601,5732
"797",36047051602,4028
"798",36047051700,1735
"799",36047051800,3415
"800",36047051900,3564
"801",36047005201,1829
"802",36047005202,2481
"803",36047052000,4228
"804",36047052300,5469
"805",36047052500,3499
"806",36047052600,4357
"807",36047052700,6629
"808",36047052800,1818
"809",36047052900,3979
"810",36047005300,1888
"811",36047053000,3465
"812",36047053100,7027
"813",36047053200,2579
"814",36047053300,6566
"815",36047053400,4383
"816",36047053500,4348
"817",36047053700,3575
"818",36047053800,4473
"819",36047053900,2756
"820",36047005400,3139
"821",36047054200,4450
"822",36047054400,3406
"823",36047054500,8008
"824",36047054600,4346
"825",36047054700,5245
"826",36047054800,1989
"827",36047054900,3122
"828",36047055000,3551
"829",36047055100,4597
"830",36047055200,3498
"831",36047055300,2596
"832",36047055400,4216
"833",36047055500,1959
"834",36047055600,3712
"835",36047055700,1655
"836",36047055800,2390
"837",36047005601,2505
"838",36047005602,1586
"839",36047056000,3493
"840",36047056100,3295
"841",36047056200,1654
"842",36047056300,4360
"843",36047056400,2451
"844",36047056500,3255
"845",36047056600,2419
"846",36047056800,1314
"847",36047056900,1630
"848",36047057000,3384
"849",36047057100,4400
"850",36047057200,5443
"851",36047057300,2608
"852",36047057400,2657
"853",36047057500,4249
"854",36047057600,2918
"855",36047057800,3176
"856",36047057900,1117
"857",36047005800,3152
"858",36047058000,3365
"859",36047058200,2967
"860",36047058400,3620
"861",36047058600,2519
"862",36047058800,3245
"863",36047058900,1904
"864",36047005900,1384
"865",36047059000,1899
"866",36047059100,3920
"867",36047059200,3870
"868",36047059300,2228
"869",36047059401,7628
"870",36047059402,4551
"871",36047059600,2306
"872",36047059800,3427
"873",36047006000,2826
"874",36047060000,6067
"875",36047060600,2555
"876",36047060800,3574
"877",36047061002,4508
"878",36047061003,1984
"879",36047061004,6447
"880",36047061200,1076
"881",36047061600,1656
"882",36047006200,2853
"883",36047062000,1850
"884",36047062200,3252
"885",36047062600,2788
"886",36047062800,5226
"887",36047006300,1892
"888",36047063200,1447
"889",36047063600,1236
"890",36047063800,1524
"891",36047006400,3478
"892",36047064000,1599
"893",36047064200,2518
"894",36047064400,2528
"895",36047064600,2189
"896",36047064800,1945
"897",36047006500,5191
"898",36047065000,1389
"899",36047065200,1232
"900",36047065400,1607
"901",36047065600,1708
"902",36047065800,1762
"903",36047006600,3663
"904",36047066000,1773
"905",36047066200,1411
"906",36047006700,3301
"907",36047067000,2680
"908",36047067200,1422
"909",36047067400,1964
"910",36047067600,1657
"911",36047067800,2660
"912",36047006800,4870
"913",36047068000,1809
"914",36047068200,2432
"915",36047068600,1533
"916",36047068800,1614
"917",36047006900,3537
"918",36047069000,1791
"919",36047069200,2392
"920",36047069601,3780
"921",36047069602,5995
"922",36047069800,1277
"923",36047000700,3359
"924",36047007000,2344
"925",36047070000,1703
"926",36047070201,6573
"927",36047070600,2700
"928",36047007100,4495
"929",36047007200,1946
"930",36047072000,2167
"931",36047072200,2655
"932",36047072400,1755
"933",36047072600,2093
"934",36047072800,3193
"935",36047073000,1979
"936",36047073200,2096
"937",36047073400,1889
"938",36047073600,3368
"939",36047073800,3225
"940",36047007400,5451
"941",36047074000,3531
"942",36047074200,3292
"943",36047074400,2492
"944",36047074600,2003
"945",36047074800,2012
"946",36047007500,4383
"947",36047075000,3029
"948",36047075200,1130
"949",36047075400,1488
"950",36047075600,1993
"951",36047075800,1816
"952",36047007600,4412
"953",36047076000,2776
"954",36047076200,4235
"955",36047076400,3487
"956",36047076600,2061
"957",36047076800,3407
"958",36047007700,3901
"959",36047077000,2722
"960",36047077200,3394
"961",36047077400,2881
"962",36047077600,3806
"963",36047007800,5068
"964",36047078000,2092
"965",36047078200,3864
"966",36047078400,2348
"967",36047078600,4256
"968",36047078800,3422
"969",36047079000,5094
"970",36047079200,4372
"971",36047079400,1864
"972",36047079601,4413
"973",36047079602,4814
"974",36047079801,3037
"975",36047079802,5451
"976",36047008000,4169
"977",36047080000,3487
"978",36047080200,4304
"979",36047080400,3250
"980",36047080600,3386
"981",36047080800,1197
"982",36047081000,2300
"983",36047081400,2635
"984",36047081600,2791
"985",36047081800,4551
"986",36047008200,4141
"987",36047082000,5281
"988",36047082200,7280
"989",36047082400,4730
"990",36047082600,5513
"991",36047082800,3814
"992",36047083000,5997
"993",36047083200,2289
"994",36047083400,1701
"995",36047083600,1929
"996",36047083800,2189
"997",36047008400,3299
"998",36047084000,2412
"999",36047084600,1963
"1000",36047084800,1750
"1001",36047008500,6956
"1002",36047085000,1374
"1003",36047085400,2052
"1004",36047085600,3608
"1005",36047085800,2434
"1006",36047086000,3426
"1007",36047086200,2996
"1008",36047086400,2231
"1009",36047086600,3149
"1010",36047086800,3156
"1011",36047087000,3204
"1012",36047087200,2868
"1013",36047087401,3142
"1014",36047087600,1742
"1015",36047087800,3006
"1016",36047008800,3207
"1017",36047088000,2863
"1018",36047088200,6740
"1019",36047088400,5236
"1020",36047088600,4427
"1021",36047088800,3923
"1022",36047089000,6319
"1023",36047089200,3651
"1024",36047089400,3430
"1025",36047089600,3546
"1026",36047089800,2089
"1027",36047000900,4172
"1028",36047009000,2994
"1029",36047090000,5508
"1030",36047090200,3451
"1031",36047090600,4581
"1032",36047090800,3990
"1033",36047091000,5610
"1034",36047091200,6814
"1035",36047091600,4325
"1036",36047091800,2804
"1037",36047009200,5388
"1038",36047092000,3154
"1039",36047092200,2691
"1040",36047092400,2656
"1041",36047092800,2656
"1042",36047093000,2547
"1043",36047093200,1142
"1044",36047093400,2401
"1045",36047093600,1628
"1046",36047093800,2374
"1047",36047009400,5805
"1048",36047094401,3202
"1049",36047094402,2886
"1050",36047094600,1830
"1051",36047095000,2906
"1052",36047095400,4607
"1053",36047095600,4042
"1054",36047095800,3456
"1055",36047009600,6126
"1056",36047096200,1717
"1057",36047096400,2361
"1058",36047096600,2164
"1059",36047096800,1471
"1060",36047097000,2105
"1061",36047097400,2724
"1062",36047009800,7024
"1063",36047098200,4305
"1064",36047098400,1978
"1065",36047098600,2862
"1066",36047098800,3054
"1067",36047099000,1422
"1068",36047099200,1833
"1069",36047099400,1978
"1070",36047099600,3631
"1071",36047099800,3784
"1072",36061001001,1434
"1073",36061001002,6547
"1074",36061010000,1992
"1075",36061010300,2058
"1076",36061010400,966
"1077",36061010601,7351
"1078",36061010602,4875
"1079",36061010800,9039
"1080",36061011000,7169
"1081",36061011100,3512
"1082",36061011201,992
"1083",36061011203,1401
"1084",36061011401,1412
"1085",36061011402,2397
"1086",36061011500,2303
"1087",36061011600,3543
"1088",36061011700,3364
"1089",36061011800,8767
"1090",36061011900,1120
"1091",36061001200,3397
"1092",36061012000,3971
"1093",36061012100,8554
"1094",36061012200,3633
"1095",36061012400,10218
"1096",36061012500,2719
"1097",36061012600,12774
"1098",36061012700,6928
"1099",36061012800,6270
"1100",36061012900,6038
"1101",36061001300,4479
"1102",36061013000,4195
"1103",36061013100,2816
"1104",36061013200,10590
"1105",36061013300,6208
"1106",36061013400,11174
"1107",36061013500,6596
"1108",36061013600,15344
"1109",36061013700,6471
"1110",36061013800,12444
"1111",36061013900,9257
"1112",36061001401,3005
"1113",36061001402,2782
"1114",36061014000,7813
"1115",36061014200,4462
"1116",36061014401,4864
"1117",36061014402,6743
"1118",36061014500,5542
"1119",36061014601,4274
"1120",36061014602,7904
"1121",36061014700,2755
"1122",36061014801,2863
"1123",36061014802,7066
"1124",36061014900,5842
"1125",36061001501,5518
"1126",36061001502,7476
"1127",36061015001,2294
"1128",36061015002,5437
"1129",36061015100,8306
"1130",36061015200,7275
"1131",36061015300,9320
"1132",36061015400,13749
"1133",36061015500,9350
"1134",36061015601,5345
"1135",36061015602,2298
"1136",36061015700,10751
"1137",36061015801,5650
"1138",36061015802,3346
"1139",36061015900,9623
"1140",36061001600,8478
"1141",36061016001,3744
"1142",36061016002,3131
"1143",36061016100,6437
"1144",36061016200,9308
"1145",36061016300,6624
"1146",36061016400,6127
"1147",36061016500,6402
"1148",36061016600,7317
"1149",36061016700,6564
"1150",36061016800,5675
"1151",36061016900,8108
"1152",36061017000,7855
"1153",36061017100,8989
"1154",36061017200,5504
"1155",36061017300,8939
"1156",36061017401,5248
"1157",36061017402,2093
"1158",36061017500,10820
"1159",36061017700,9151
"1160",36061017800,3912
"1161",36061017900,9293
"1162",36061001800,8660
"1163",36061018000,7476
"1164",36061018100,8866
"1165",36061018200,6768
"1166",36061018300,8667
"1167",36061018400,7835
"1168",36061018500,4190
"1169",36061018600,5701
"1170",36061018700,8974
"1171",36061018800,6008
"1172",36061018900,11547
"1173",36061019000,3083
"1174",36061019100,8807
"1175",36061019200,3584
"1176",36061019300,9009
"1177",36061019400,6558
"1178",36061019500,8197
"1179",36061019600,3931
"1180",36061019702,2090
"1181",36061019800,1914
"1182",36061019900,10064
"1183",36061000201,3058
"1184",36061000202,7316
"1185",36061002000,4917
"1186",36061020000,2581
"1187",36061020101,1731
"1188",36061020102,3865
"1189",36061020300,3633
"1190",36061020500,5322
"1191",36061020600,2942
"1192",36061020701,3329
"1193",36061020800,4591
"1194",36061020901,3673
"1195",36061002100,6040
"1196",36061021000,6637
"1197",36061021100,10330
"1198",36061021200,4412
"1199",36061021303,5619
"1200",36061021400,3001
"1201",36061021500,3068
"1202",36061021600,7556
"1203",36061021800,6617
"1204",36061021900,6023
"1205",36061002201,6398
"1206",36061002202,2189
"1207",36061022000,5370
"1208",36061022102,2175
"1209",36061022200,2644
"1210",36061022301,7917
"1211",36061022302,3385
"1212",36061022400,6427
"1213",36061022500,10149
"1214",36061022600,3778
"1215",36061022700,4864
"1216",36061022800,5248
"1217",36061022900,8300
"1218",36061023000,8106
"1219",36061023100,5865
"1220",36061023200,7980
"1221",36061023300,6527
"1222",36061023400,4465
"1223",36061023501,6004
"1224",36061023502,1819
"1225",36061023600,6404
"1226",36061023700,6811
"1227",36061023801,9723
"1228",36061023802,1938
"1229",36061023900,2371
"1230",36061002400,5434
"1231",36061024000,1648
"1232",36061024100,7642
"1233",36061024200,3396
"1234",36061024301,3946
"1235",36061024302,7370
"1236",36061024500,14934
"1237",36061024700,7074
"1238",36061024900,1101
"1239",36061002500,4869
"1240",36061025100,2526
"1241",36061025300,11236
"1242",36061025500,5771
"1243",36061025700,3876
"1244",36061025900,3496
"1245",36061002601,3772
"1246",36061002602,4227
"1247",36061026100,12087
